#{"t_start": 1779972541.169826, "env_id": "Blackjack4game-v1"}
r,l,t
0.0,2,2.681405
0.929608,2,2.683468
-0.880839,3,2.686697
-1.0,2,2.688902
0.0,2,2.691389
0.0,2,2.693885
0.0,3,2.696963
0.0,4,2.70133
0.0,5,2.707177
0.0,3,2.710491
0.0,3,2.714758
0.0,2,2.716936
-1.0,3,2.720879
0.0,3,2.724351
-1.0,5,2.730508
0.578268,3,2.734435
0.0,4,2.738486
0.0,2,2.741713
-1.0,3,2.74508
-0.132436,3,2.748715
0.0,4,2.753007
0.0,4,2.757934
-1.0,4,2.763203
0.0,2,2.765301
0.289763,2,2.76765
0.0,4,2.771806
0.0,3,2.775781
-1.0,2,2.778294
-1.0,2,2.780527
0.0,3,2.784612
-0.70577,3,2.788081
0.0,4,2.792735
0.0,4,2.798023
0.0,2,2.800359
0.0,5,2.806768
-0.817926,3,2.80999
0.0,5,2.815742
-0.275734,4,2.820809
-1.0,3,2.824131
0.0,4,2.828834
-0.814804,4,2.833097
0.0,2,2.83542
0.0,3,2.838844
0.0,3,2.842466
-0.4515,3,2.846439
-0.033405,3,2.849708
-0.322427,4,2.854472
0.0,5,2.860074
-0.811628,4,2.864352
0.0,3,2.86799
-1.0,5,2.873462
0.0,4,2.877763
0.199064,3,2.880697
1.0,3,2.883588
0.0,5,2.888588
-0.538221,3,2.891564
0.0,4,2.897948
0.0,6,2.906226
0.0,3,2.909932
0.0,4,2.914565
0.0,4,2.918763
-0.098898,2,2.920716
0.0,4,2.925118
0.779484,3,2.928242
0.0,4,2.932688
1.288751,2,2.935188
0.0,4,2.940289
0.0,2,2.942453
0.0,3,2.946032
0.0,3,2.949137
-0.490834,4,2.953492
0.995024,2,2.955814
-0.138293,2,2.958525
-0.82548,2,2.960928
0.0,4,2.965644
0.0,2,2.967916
-0.122827,3,2.971174
-0.051852,5,2.975983
0.0,2,2.978311
-1.0,3,2.981406
0.0,3,2.984709
0.0,3,2.988299
0.0,3,2.992299
0.0,2,2.994632
0.0,2,2.997076
-1.0,4,3.002076
0.0,3,3.006582
0.0,2,3.010023
0.0,4,3.016775
0.0,3,3.022548
0.0,3,3.02817
-0.974188,4,3.035205
0.0,4,3.041063
0.0,3,3.046038
-0.167139,3,3.051233
-1.0,2,3.054197
0.0,4,3.059004
0.0,3,3.063781
0.0,3,3.068409
0.0,2,3.070879
-0.09776,3,3.074213
1.0,4,3.079041
0.0,3,3.082471
0.0,4,3.086746
0.0,4,3.091234
-0.762517,4,3.096061
1.0,3,3.100752
0.143226,3,3.105896
-1.0,3,3.110492
-1.0,4,3.116612
0.726637,3,3.120913
-0.903618,4,3.126696
0.0,2,3.129961
-0.1037,3,3.134769
0.0,3,3.139745
0.0,4,3.14656
-0.272673,4,3.153489
-1.0,4,3.160566
0.146216,2,3.163767
-0.29261,4,3.170262
-1.0,4,3.176943
0.0,3,3.181011
0.95672,4,3.185384
0.0,3,3.189254
0.0,3,3.192532
-0.563273,3,3.196317
0.013605,2,3.198367
0.0,2,3.200568
-0.08093,4,3.204931
0.0,4,3.209767
-0.395314,3,3.212817
0.0,2,3.215072
0.0,4,3.219368
-0.166588,4,3.223897
-0.040932,4,3.227957
0.91142,3,3.231355
0.0,3,3.234631
0.0,4,3.239016
0.063059,3,3.242207
0.0,3,3.245744
0.0,2,3.247873
0.0,3,3.250927
-0.977138,2,3.252829
0.731256,3,3.255777
0.0,3,3.2587
-0.27884,4,3.262437
-0.103541,4,3.266257
0.0,3,3.269176
-0.043846,3,3.272049
0.0,4,3.27635
0.0,3,3.27981
0.0,5,3.285109
0.0,4,3.28885
-1.0,2,3.291182
0.0,3,3.294442
0.0,3,3.297765
-1.0,5,3.303107
0.0,3,3.306695
0.0,4,3.310952
1.0,2,3.313282
0.0,3,3.316368
0.0,7,3.323412
-0.214047,3,3.326825
0.629032,2,3.328832
-0.28383,4,3.332952
-1.0,3,3.336149
0.0,4,3.33987
1.0,4,3.343752
-0.917962,2,3.345814
-0.961902,4,3.349581
0.0,4,3.353593
-0.178469,3,3.356745
0.0,3,3.360463
0.0,2,3.362649
0.0,3,3.36587
0.0,5,3.37092
0.0,2,3.372854
0.0,3,3.376279
-1.0,3,3.379031
0.395587,3,3.382113
0.0,2,3.384155
0.0,4,3.387924
0.0,3,3.391342
0.383638,4,3.395461
0.0,4,3.399876
0.0,2,3.402351
0.0,4,3.406352
0.0,3,3.409687
0.0,3,3.412754
-0.148448,4,3.417178
-1.0,2,3.419368
-0.460104,4,3.42346
-1.0,3,3.426891
0.0,4,3.433115
0.0,3,3.436547
-0.914768,5,3.442029
-1.0,4,3.447131
0.0,3,3.450767
0.0,4,3.455066
0.0,4,3.459397
0.0,3,3.463531
-0.119598,3,3.468235
-0.760658,3,3.47146
0.0,3,3.474883
0.0,2,3.477623
-2.0,2,3.480488
0.0,4,3.484873
0.0,2,3.486916
0.0,4,3.490601
-0.739177,4,3.49442
1.0,2,3.496255
